country,year,category,share,value,pair_side
Ecuador,2018,large_equipment,0.15,4.9,y
Ecuador,2018,small_equipment,0.49,8.1,x
Ecuador,2018,small_equipment,0.41,4.9,y
Ecuador,2018,small_equipment,0.49,8.1,x
Ecuador,2018,small_it,0.07,4.9,y
Ecuador,2018,small_it,0.1,8.1,x
Ecuador,2018,temperature_exchange_equipment,0.25,4.9,y
Ecuador,2018,small_it,0.1,8.1,x
Ecuador,2018,screens_and_monitors,0.1,4.9,y
Ecuador,2018,small_it,0.1,8.1,x
Ecuador,2018,lamps,0.03,4.9,y
Ecuador,2018,small_it,0.1,8.1,x
Ecuador,2018,large_equipment,0.15,4.9,y
Ecuador,2018,small_it,0.1,8.1,x
Ecuador,2018,small_equipment,0.41,4.9,y
Ecuador,2018,small_it,0.1,8.1,x
Ecuador,2018,small_it,0.07,4.9,y
Guatemala,2018,temperature_exchange_equipment,0.17,4.4,x
Guatemala,2018,temperature_exchange_equipment,0.22,2.8,y
Guatemala,2018,temperature_exchange_equipment,0.17,4.4,x
Guatemala,2018,screens_and_monitors,0.12,2.8,y
Guatemala,2018,temperature_exchange_equipment,0.17,4.4,x
Guatemala,2018,lamps,0.05,2.8,y
Guatemala,2018,temperature_exchange_equipment,0.17,4.4,x
Guatemala,2018,large_equipment,0.13,2.8,y
Guatemala,2018,temperature_exchange_equipment,0.17,4.4,x
Guatemala,2018,small_equipment,0.36,2.8,y
Guatemala,2018,temperature_exchange_equipment,0.17,4.4,x
Guatemala,2018,small_it,0.12,2.8,y
Guatemala,2018,screens_and_monitors,0.14,4.4,x
Guatemala,2018,temperature_exchange_equipment,0.22,2.8,y
Guatemala,2018,screens_and_monitors,0.14,4.4,x
Guatemala,2018,screens_and_monitors,0.12,2.8,y
Guatemala,2018,screens_and_monitors,0.14,4.4,x
Guatemala,2018,lamps,0.05,2.8,y
Guatemala,2018,screens_and_monitors,0.14,4.4,x
Guatemala,2018,large_equipment,0.13,2.8,y
Guatemala,2018,screens_and_monitors,0.14,4.4,x
Guatemala,2018,small_equipment,0.36,2.8,y
Guatemala,2018,screens_and_monitors,0.14,4.4,x
Guatemala,2018,small_it,0.12,2.8,y
Guatemala,2018,lamps,0.07,4.4,x
Guatemala,2018,temperature_exchange_equipment,0.22,2.8,y
Guatemala,2018,lamps,0.07,4.4,x
Guatemala,2018,screens_and_monitors,0.12,2.8,y
Guatemala,2018,lamps,0.07,4.4,x
Guatemala,2018,lamps,0.05,2.8,y
Guatemala,2018,lamps,0.07,4.4,x
Guatemala,2018,large_equipment,0.13,2.8,y
Guatemala,2018,lamps,0.07,4.4,x
Guatemala,2018,small_equipment,0.36,2.8,y
Guatemala,2018,lamps,0.07,4.4,x
Guatemala,2018,small_it,0.12,2.8,y
Guatemala,2018,large_equipment,0.12,4.4,x
Guatemala,2018,temperature_exchange_equipment,0.22,2.8,y
Guatemala,2018,large_equipment,0.12,4.4,x
Guatemala,2018,screens_and_monitors,0.12,2.8,y
Guatemala,2018,large_equipment,0.12,4.4,x
Guatemala,2018,lamps,0.05,2.8,y
Guatemala,2018,large_equipment,0.12,4.4,x
Guatemala,2018,large_equipment,0.13,2.8,y
Guatemala,2018,large_equipment,0.12,4.4,x
Guatemala,2018,small_equipment,0.36,2.8,y
Guatemala,2018,large_equipment,0.12,4.4,x
Guatemala,2018,small_it,0.12,2.8,y
Guatemala,2018,small_equipment,0.37,4.4,x
Guatemala,2018,temperature_exchange_equipment,0.22,2.8,y
Guatemala,2018,small_equipment,0.37,4.4,x
Guatemala,2018,screens_and_monitors,0.12,2.8,y
Guatemala,2018,small_equipment,0.37,4.4,x
Guatemala,2018,lamps,0.05,2.8,y
Guatemala,2018,small_equipment,0.37,4.4,x
Guatemala,2018,large_equipment,0.13,2.8,y
Guatemala,2018,small_equipment,0.37,4.4,x
Guatemala,2018,small_equipment,0.36,2.8,y
Guatemala,2018,small_equipment,0.37,4.4,x
Guatemala,2018,small_it,0.12,2.8,y
Guatemala,2018,small_it,0.14,4.4,x
Guatemala,2018,temperature_exchange_equipment,0.22,2.8,y
Guatemala,2018,small_it,0.14,4.4,x
Guatemala,2018,screens_and_monitors,0.12,2.8,y
Guatemala,2018,small_it,0.14,4.4,x
Guatemala,2018,lamps,0.05,2.8,y
Guatemala,2018,small_it,0.14,4.4,x
